Municipality,Population,Barangays,Province
Bangued,"50,382",31,Abra
Boliney,"4,551",8,Abra
Bucay,"17,953",21,Abra
Bucloc,"2,395",4,Abra
Daguioman,"2,019",4,Abra
Danglas,"4,074",7,Abra
Dolores,"11,512",15,Abra
La Paz,"16,493",12,Abra
Lacub,"3,612",6,Abra
Lagangilang,"14,914",17,Abra
Lagayan,"4,488",5,Abra
Langiden,"3,576",6,Abra
Licuan-Baay,"4,566",11,Abra
Luba,"6,518",8,Abra
Malibcong,"4,027",12,Abra
Manabo,"11,611",11,Abra
Peñarrubia,"6,951",9,Abra
Pidigan,"12,475",15,Abra
Pilar,"10,146",19,Abra
Sallapadan,"6,389",9,Abra
San Isidro,"4,745",9,Abra
San Juan,"10,688",19,Abra
San Quintin,"5,705",6,Abra
Tayum,"14,869",11,Abra
Tineg,"4,977",10,Abra
Tubo,"5,674",10,Abra
Villaviciosa,"5,675",8,Abra
Buenavista,"68,892",25,Agusan del Norte
Butuan,"372,910",86,
Cabadbaran,"80,354",31,Agusan del Norte
Carmen,"23,172",8,Agusan del Norte
Jabonga,"24,855",15,Agusan del Norte
Kitcharao,"21,278",11,Agusan del Norte
Las Nieves,"30,240",20,Agusan del Norte
Magallanes,"22,293",8,Agusan del Norte
Nasipit,"44,822",19,Agusan del Norte
Remedios T. Romualdez,"17,155",8,Agusan del Norte
Santiago,"28,657",9,Agusan del Norte
Tubay,"25,785",13,Agusan del Norte
Bayugan,"109,499",43,Agusan del Sur
Bunawan,"47,512",10,Agusan del Sur
Esperanza,"59,353",47,Agusan del Sur
La Paz,"30,969",15,Agusan del Sur
Loreto,"43,880",17,Agusan del Sur
Prosperidad,"88,321",32,Agusan del Sur
Rosario,"49,610",11,Agusan del Sur
San Francisco,"80,760",27,Agusan del Sur
San Luis,"35,196",25,Agusan del Sur
Santa Josefa,"26,432",11,Agusan del Sur
Sibagat,"33,957",24,Agusan del Sur
Talacogon,"39,678",16,Agusan del Sur
Trento,"54,492",16,Agusan del Sur
Veruela,"39,708",20,Agusan del Sur
Altavas,"25,639",14,Aklan
Balete,"30,090",10,Aklan
Banga,"40,318",30,Aklan
Batan,"33,484",20,Aklan
Buruanga,"19,357",15,Aklan
Ibajay,"52,364",35,Aklan
Kalibo,"89,127",16,Aklan
Lezo,"15,639",12,Aklan
Libacao,"28,272",24,Aklan
Madalag,"18,890",25,Aklan
Makato,"29,717",18,Aklan
Malay,"60,077",17,Aklan
Malinao,"24,517",23,Aklan
Nabas,"40,632",20,Aklan
New Washington,"47,955",16,Aklan
Numancia,"35,693",17,Aklan
Tangalan,"23,704",15,Aklan
Bacacay,"72,485",56,Albay
Camalig,"72,042",50,Albay
Daraga,"133,893",54,Albay
Guinobatan,"85,786",44,Albay
Jovellar,"17,795",23,Albay
Legazpi,"209,533",70,Albay
Libon,"75,073",47,Albay
Ligao,"118,096",55,Albay
Malilipot,"40,857",18,Albay
Malinao,"47,395",29,Albay
Manito,"26,162",15,Albay
Oas,"66,084",53,Albay
Pio Duran,"49,070",33,Albay
Polangui,"89,176",44,Albay
Rapu-Rapu,"36,151",34,Albay
Santo Domingo,"37,765",23,Albay
Tabaco,"140,961",47,Albay
Tiwi,"56,444",25,Albay
Anini-y,"22,018",23,Antique
Barbaza,"23,359",39,Antique
Belison,"14,129",11,Antique
Bugasong,"34,676",27,Antique
Caluya,"38,908",18,Antique
Culasi,"44,494",44,Antique
Hamtic,"52,685",47,Antique
Laua-an,"26,580",40,Antique
Libertad,"17,507",19,Antique
Pandan,"35,965",34,Antique
Patnongon,"38,329",36,Antique
San Jose de Buenavista,"65,140",28,Antique
San Remigio,"34,045",45,Antique
Sebaste,"18,816",10,Antique
Sibalom,"63,833",76,Antique
Tibiao,"28,703",21,Antique
Tobias Fornier,"33,816",50,Antique
Valderrama,"19,971",22,Antique
Calanasan,"12,550",18,Apayao
Conner,"27,552",21,Apayao
Flora,"17,944",16,Apayao
Kabugao,"16,215",21,Apayao
Luna,"21,297",22,Apayao
Pudtol,"15,491",22,Apayao
Santa Marcela,"13,317",13,Apayao
Baler,"43,785",13,Aurora
Casiguran,"26,564",24,Aurora
Dilasag,"17,102",11,Aurora
Dinalungan,"12,508",9,Aurora
Dingalan,"27,878",11,Aurora
Dipaculao,"33,131",25,Aurora
Maria Aurora,"44,958",40,Aurora
San Luis,"29,824",18,Aurora
Akbar,"23,098",9,Basilan
Al-Barka,"23,736",16,Basilan
Hadji Mohammad Ajul,"24,625",11,Basilan
Hadji Muhtamad,"26,867",10,Basilan
Isabela,"130,379",45,Basilan
Lamitan,"100,150",45,Basilan
Lantawan,"31,040",25,Basilan
Maluso,"45,730",20,Basilan
Sumisip,"47,345",29,Basilan
Tabuan-Lasa,"29,327",12,Basilan
Tipo-Tipo,"25,531",11,Basilan
Tuburan,"24,742",10,Basilan
Ungkaya Pukan,"24,016",12,Basilan
Abucay,"42,984",9,Bataan
Bagac,"31,365",14,Bataan
Balanga,"104,173",25,Bataan
Dinalupihan,"118,209",46,Bataan
Hermosa,"77,443",23,Bataan
Limay,"78,272",12,Bataan
Mariveles,"149,879",18,Bataan
Morong,"35,394",5,Bataan
Orani,"70,342",29,Bataan
Orion,"60,771",23,Bataan
Pilar,"46,239",19,Bataan
Samal,"38,302",14,Bataan
Basco,"9,517",6,Batanes
Itbayat,"3,128",5,Batanes
Ivana,"1,407",4,Batanes
Mahatao,"1,703",4,Batanes
Sabtang,"1,696",6,Batanes
Uyugan,"1,380",4,Batanes
Agoncillo,"39,101",21,Batangas
Alitagtag,"26,819",19,Batangas
Balayan,"95,913",48,Batangas
Balete,"24,055",13,Batangas
Batangas City,"351,437",105,Batangas
Bauan,"90,819",40,Batangas
Calaca,"87,361",40,Batangas
Calatagan,"58,719",25,Batangas
Cuenca,"36,235",21,Batangas
Ibaan,"58,507",26,Batangas
Laurel,"43,210",21,Batangas
Lemery,"93,186",46,Batangas
Lian,"56,280",19,Batangas
Lipa,"372,931",72,Batangas
Lobo,"40,736",26,Batangas
Mabini,"50,858",34,Batangas
Malvar,"64,379",15,Batangas
Mataasnakahoy,"30,621",16,Batangas
Nasugbu,"136,524",42,Batangas
Padre Garcia,"51,853",18,Batangas
Rosario,"128,352",48,Batangas
San Jose,"79,868",33,Batangas
San Juan,"114,068",42,Batangas
San Luis,"36,172",26,Batangas
San Nicolas,"23,908",18,Batangas
San Pascual,"69,009",29,Batangas
Santa Teresita,"21,559",17,Batangas
Santo Tomas,"218,500",30,Batangas
Taal,"61,460",42,Batangas
Talisay,"46,238",21,Batangas
Tanauan,"193,936",48,Batangas
Taysan,"40,146",20,Batangas
Tingloy,"19,215",15,Batangas
Tuy,"46,519",22,Batangas
Atok,"19,218",8,Benguet
Baguio,"366,358",129,
Bakun,"14,535",7,Benguet
Bokod,"14,435",10,Benguet
Buguias,"44,877",14,Benguet
Itogon,"61,498",9,Benguet
Kabayan,"15,806",13,Benguet
Kapangan,"19,297",15,Benguet
Kibungan,"17,051",7,Benguet
La Trinidad,"137,404",16,Benguet
Mankayan,"37,233",12,Benguet
Sablan,"11,588",8,Benguet
Tuba,"48,312",13,Benguet
Tublay,"19,429",8,Benguet
Almeria,"17,954",13,Biliran
Biliran,"17,662",11,Biliran
Cabucgayan,"21,542",13,Biliran
Caibiran,"24,167",17,Biliran
Culaba,"12,972",17,Biliran
Kawayan,"20,455",20,Biliran
Maripipi,"6,373",15,Biliran
Naval,"58,187",26,Biliran
Alburquerque,"11,246",11,Bohol
Alicia,"24,374",15,Bohol
Anda,"17,778",16,Bohol
Antequera,"14,990",21,Bohol
Baclayon,"22,461",17,Bohol
Balilihan,"18,694",31,Bohol
Batuan,"13,845",15,Bohol
Bien Unido,"26,666",15,Bohol
Bilar,"18,512",19,Bohol
Buenavista,"29,711",35,Bohol
Calape,"33,079",33,Bohol
Candijay,"30,119",21,Bohol
Carmen,"49,191",29,Bohol
Catigbian,"23,805",22,Bohol
Clarin,"21,158",24,Bohol
Corella,"9,479",8,Bohol
Cortes,"18,344",14,Bohol
Dagohoy,"19,874",15,Bohol
Danao,"20,245",17,Bohol
Dauis,"52,492",12,Bohol
Dimiao,"14,889",35,Bohol
Duero,"18,861",21,Bohol
Garcia Hernandez,"24,430",30,Bohol
Getafe,"33,422",24,Bohol
Guindulman,"34,104",19,Bohol
Inabanga,"48,534",50,Bohol
