rank,city,state
1,New York,New York
2,Los Angeles,California
3,Chicago,Illinois
4,Houston,Texas
5,Phoenix,Arizona
6,Philadelphia,Pennsylvania
7,San Antonio,Texas
8,San Diego,California
9,Dallas,Texas
10,San Jose,California
11,Austin,Texas
12,Jacksonville,Florida
13,Fort Worth,Texas
14,Columbus,Ohio
15,Indianapolis,Indiana
16,Charlotte,North Carolina
17,San Francisco,California
18,Seattle,Washington
19,Denver,Colorado
20,Washington,District of Columbia
21,Nashville,Tennessee
22,Oklahoma City,Oklahoma
23,El Paso,Texas
24,Boston,Massachusetts
25,Portland,Oregon
26,Las Vegas,Nevada
27,Detroit,Michigan
28,Memphis,Tennessee
29,Louisville,Kentucky
30,Baltimore,Maryland
31,Milwaukee,Wisconsin
32,Albuquerque,New Mexico
33,Tucson,Arizona
34,Fresno,California
35,Sacramento,California
36,Kansas City,Missouri
37,Mesa,Arizona
38,Atlanta,Georgia
39,Omaha,Nebraska
40,Colorado Springs,Colorado
41,Raleigh,North Carolina
42,Long Beach,California
43,Virginia Beach,Virginia
44,Miami,Florida
45,Oakland,California
46,Minneapolis,Minnesota
47,Tulsa,Oklahoma
48,Bakersfield,California
49,Wichita,Kansas
50,Arlington,Texas
51,Aurora,Colorado
52,Tampa,Florida
53,New Orleans,Louisiana
54,Cleveland,Ohio
55,Honolulu,Hawaii
56,Anaheim,California
57,Lexington,Kentucky
58,Stockton,California
59,Corpus Christi,Texas
60,Henderson,Nevada
61,Riverside,California
62,Newark,New Jersey
63,Saint Paul,Minnesota
64,Santa Ana,California
65,Cincinnati,Ohio
66,Irvine,California
67,Orlando,Florida
68,Pittsburgh,Pennsylvania
69,St. Louis,Missouri
70,Greensboro,North Carolina
71,Jersey City,New Jersey
72,Anchorage,Alaska
73,Lincoln,Nebraska
74,Plano,Texas
75,Durham,North Carolina
76,Buffalo,New York
77,Chandler,Arizona
78,Chula Vista,California
79,Toledo,Ohio
80,Madison,Wisconsin
81,Gilbert,Arizona
82,Reno,Nevada
83,Fort Wayne,Indiana
84,North Las Vegas,Nevada
85,St. Petersburg,Florida
86,Lubbock,Texas
87,Irving,Texas
88,Laredo,Texas
89,Winston–Salem,North Carolina
90,Chesapeake,Virginia
91,Glendale,Arizona
92,Garland,Texas
93,Scottsdale,Arizona
94,Norfolk,Virginia
95,Boise,Idaho
96,Fremont,California
